26644
0              5              3             29     -0.0881237
0              5              4              7      -0.166168
0              5              4             25      -0.119921
0              5              5              0      -0.939986
0              5              5             10     -0.0783321
0              5              5             28      0.0293746
0              5              6             15       0.118716
0              5              7              4       0.166168
0              5              7             18      0.0293746
0              5              8             13      -0.084797
0              5              9              2      -0.276946
0              5              9             16     -0.0881237
0              5             10              5      0.0783321
0              5             10             19       0.124626
0              5             11              3      0.0783321
0              5             11             17     -0.0415419
0              5             12             23      0.0550773
0              5             13              8       0.084797
0              5             13             26      0.0367182
0              5             14             21     -0.0428379
0              5             15              6      -0.118716
0              5             15             24      -0.061197
0              5             16              9      0.0881237
0              5             16             27       0.105996
0              5             17              1       0.166168
0              5             17             11      0.0415419
0              5             17             29     -0.0259637
0              5             18              7     -0.0293746
0              5             18             25     -0.0635978
0              5             19              0      -0.276946
0              5             19             10      -0.124626
0              5             19             28     -0.0259637
0              5             21             14      0.0428379
0              5             23             12     -0.0550773
0              5             24             15       0.061197
0              5             25              4       0.119921
0              5             25             18      0.0635978
0              5             26             13     -0.0367182
0              5             27              2       -0.16789
0              5             27             16      -0.105996
0              5             28              5     -0.0293746
0              5             28             19      0.0259637
0              5             29              3      0.0881237
0              5             29             17      0.0259637
0              6              0              6       0.626657
0              6              0             24       0.135675
0              6              2             16     -0.0783321
0              6              3             12       0.135675
0              6              6              0      -0.626657
0              6              6             10     -0.0783321
0              6              6             28    3.05311e-16
0              6              7             20      0.0479684
0              6             10              6      0.0783321
0              6             10             24      0.0678376
0              6             12              3      -0.135675
0              6             12             17     -0.0479684
0              6             16              2      0.0783321
0              6             17             12      0.0479684
0              6             20              7     -0.0479684
0              6             20             25     -0.0259637
0              6             24              0      -0.135675
0              6             24             10     -0.0678376
0              6             24             28     -0.0211993
0              6             25             20      0.0259637
0              6             28              6   -3.05311e-16
0              6             28             24      0.0211993
0              7              0              7       0.626657
0              7              0             25       0.135675
0              7              2             13       0.135675
0              7              3             17     -0.0783321
0              7              6             21      0.0479684
0              7              7              0      -0.626657
0              7              7             10     -0.0783321
0              7              7             28    3.05311e-16
0              7             10              7      0.0783321
0              7             10             25      0.0678376
0              7             13              2      -0.135675
0              7             13             16     -0.0479684
0              7             16             13      0.0479684
0              7             17              3      0.0783321
0              7             21              6     -0.0479684
0              7             21             24     -0.0259637
0              7             24             21      0.0259637
0              7             25              0      -0.135675
0              7             25             10     -0.0678376
0              7             25             28     -0.0211993
0              7             28              7   -3.05311e-16
0              7             28             25      0.0211993
0              8              0              8       0.744155
0              8              0             26       0.220472
0              8              1              6      -0.117498
0              8              1             24      -0.084797
0              8              2              4       0.276946
0              8              2             18     0.00979152
0              8              3             14       0.220472
0              8              4              2      -0.276946
0              8              4             16     -0.0881237
0              8              5             12      -0.084797
0              8              6              1       0.117498
0              8              6             11     -0.0881237
0              8              6             29     -0.0477336
0              8              7             22       0.100434
0              8              8              0      -0.744155
0              8              8             10     0.00979152
0              8              8             28      0.0477336
0              8              9             20     -0.0524655
0              8             10              8    -0.00979152
0              8             10             26      0.0466384
0              8             11              6      0.0881237
0              8             11             24      0.0211993
0              8             12              5       0.084797
0              8             12             19     -0.0149901
0              8             14              3      -0.220472
0              8             14             17     -0.0329783
0              8             16              4      0.0881237
0              8             16             18      0.0675056
0              8             17             14      0.0329783
0              8             18              2    -0.00979152
0              8             18             16     -0.0675056
0              8             19             12      0.0149901
0              8             20              9      0.0524655
0              8             20             27     0.00757274
0              8             22              7      -0.100434
0              8             22             25     -0.0335364
0              8             24              1       0.084797
0              8             24             11     -0.0211993
0              8             24             29     -0.0450484
0              8             25             22      0.0335364
0              8             26              0      -0.220472
0              8             26             10     -0.0466384
0              8             26             28      0.0238492
0              8             27             20    -0.00757274
0              8             28              8     -0.0477336
0              8             28             26     -0.0238492
0              8             29              6      0.0477336
0              8             29             24      0.0450484
0              9              0              9       0.744155
0              9              0             27       0.220472
0              9              1              7      -0.117498
0              9              1             25      -0.084797
0              9              2             15       0.220472
0              9              3              5       0.276946
0              9              3             19     0.00979152
0              9              4             13      -0.084797
0              9              5              3      -0.276946
0              9              5             17     -0.0881237
0              9              6             23       0.100434
0              9              7              1       0.117498
0              9              7             11     -0.0881237
0              9              7             29     -0.0477336
0              9              8             21     -0.0524655
0              9              9              0      -0.744155
0              9              9             10     0.00979152
0              9              9             28      0.0477336
0              9             10              9    -0.00979152
0              9             10             27      0.0466384
0              9             11              7      0.0881237
0              9             11             25      0.0211993
0              9             13              4       0.084797
0              9             13             18     -0.0149901
0              9             15              2      -0.220472
0              9             15             16     -0.0329783
0              9             16             15      0.0329783
0              9             17              5      0.0881237
0              9             17             19      0.0675056
0              9             18             13      0.0149901
0              9             19              3    -0.00979152
0              9             19             17     -0.0675056
0              9             21              8      0.0524655
0              9             21             26     0.00757274
0              9             23              6      -0.100434
0              9             23             24     -0.0335364
0              9             24             23      0.0335364
0              9             25              1       0.084797
0              9             25             11     -0.0211993
0              9             25             29     -0.0450484
0              9             26             21    -0.00757274
0              9             27              0      -0.220472
0              9             27             10     -0.0466384
0              9             27             28      0.0238492
0              9             28              9     -0.0477336
0              9             28             27     -0.0238492
0              9             29              7      0.0477336
0              9             29             25      0.0450484
0             10              0             10       0.626657
0             10              0             28       0.156664
0             10              2             17       0.110778
0             10              3             16       0.110778
0             10              6             25      0.0339188
0             10              7             24      0.0339188
0             10             10              0      -0.626657
0             10             10             28      0.0587491
0             10             16              3      -0.110778
0             10             17              2      -0.110778
0             10             24              7     -0.0339188
0             10             24             25   -3.70363e-16
0             10             25              6     -0.0339188
0             10             25             24    3.70363e-16
0             10             28              0      -0.156664
0             10             28             10     -0.0587491
0             11              0              1       0.313329
0             11              0             11       0.861653
0             11              0             29       0.303537
0             11              1              0      -0.313329
0             11              1             10      -0.234996
0             11              1             28      -0.146873
0             11              2              5     -0.0783321
0             11              2             19        0.15232
0             11              3              4     -0.0783321
0             11              3             18        0.15232
0             11              4              3      0.0783321
0             11              4             17     -0.0415419
0             11              5              2      0.0783321
0             11              5             16     -0.0415419
0             11              6              9     -0.0881237
0             11              6             27      0.0127196
0             11              7              8     -0.0881237
0             11              7             26      0.0127196
0             11              8              7      0.0881237
0             11              8             25      0.0211993
0             11              9              6      0.0881237
0             11              9             24      0.0211993
0             11             10              1       0.234996
0             11             10             11       0.137081
0             11             10             29       0.139529
0             11             11              0      -0.861653
0             11             11             10      -0.137081
0             11             11             28       -0.08078
0             11             12             15      -0.061197
0             11             13             14      -0.061197
0             11             14             13       0.061197
0             11             15             12       0.061197
0             11             16              5      0.0415419
0             11             16             19      0.0514055
0             11             17              4      0.0415419
0             11             17             18      0.0514055
0             11             18              3       -0.15232
0             11             18             17     -0.0514055
0             11             19              2       -0.15232
0             11             19             16     -0.0514055
0             11             20             23     -0.0374831
0             11             21             22     -0.0374831
0             11             22             21      0.0374831
0             11             23             20      0.0374831
0             11             24              9     -0.0211993
0             11             24             27    -0.00305985
0             11             25              8     -0.0211993
0             11             25             26    -0.00305985
0             11             26              7     -0.0127196
0             11             26             25     0.00305985
0             11             27              6     -0.0127196
0             11             27             24     0.00305985
0             11             28              1       0.146873
0             11             28             11        0.08078
0             11             28             29      0.0688466
0             11             29              0      -0.303537
0             11             29             10      -0.139529
0             11             29             28     -0.0688466
0             12              0             12       0.567908
0             12              2              6       0.101756
0             12              2             24     -0.0244788
0             12              3             20       0.129738
0             12              6              2      -0.101756
0             12              6             16     -0.0659566
0             12             10             12      0.0244788
0             12             12              0      -0.567908
0             12             12             10     -0.0244788
0             12             12             28       0.020195
0             12             16              6      0.0659566
0             12             16             24        0.02856
0             12             17             20      0.0272619
0             12             20              3      -0.129738
0             12             20             17     -0.0272619
0             12             24              2      0.0244788
0             12             24             16       -0.02856
0             12             28             12      -0.020195
0             13              0             13       0.567908
0             13              2             21       0.129738
0             13              3              7       0.101756
0             13              3             25     -0.0244788
0             13              7              3      -0.101756
0             13              7             17     -0.0659566
0             13             10             13      0.0244788
0             13             13              0      -0.567908
0             13             13             10     -0.0244788
0             13             13             28       0.020195
0             13             16             21      0.0272619
0             13             17              7      0.0659566
0             13             17             25        0.02856
0             13             21              2      -0.129738
0             13             21             16     -0.0272619
0             13             25              3      0.0244788
0             13             25             17       -0.02856
0             13             28             13      -0.020195
0             14              0             14       0.616866
0             14              1             12     -0.0489576
0             14              2              8       0.220472
0             14              2             26      0.0367182
0             14              3             22       0.172575
0             14              4              6      -0.118716
0             14              4             24      -0.061197
0             14              5             20     -0.0428379
0             14              6              4       0.118716
0             14              6             18     -0.0329783
0             14              8              2      -0.220472
0             14              8             16     -0.0329783
0             14             10             14     -0.0367182
0             14             11             12       0.061197
0             14             12              1      0.0489576
0             14             12             11      -0.061197
0             14             12             29     -0.0137693
0             14             14              0      -0.616866
0             14             14             10      0.0367182
0             14             14             28      0.0339643
0             14             16              8      0.0329783
0             14             16             26      0.0480328
0             14             17             22     0.00454364
0             14             18              6      0.0329783
0             14             18             24     -0.0194728
0             14             19             20      0.0227182
0             14             20              5      0.0428379
0             14             20             19     -0.0227182
0             14             22              3      -0.172575
0             14             22             17    -0.00454364
0             14             24              4       0.061197
0             14             24             18      0.0194728
0             14             26              2     -0.0367182
0             14             26             16     -0.0480328
0             14             28             14     -0.0339643
0             14             29             12      0.0137693
0             15              0             15       0.616866
0             15              1             13     -0.0489576
0             15              2             23       0.172575
0             15              3              9       0.220472
0             15              3             27      0.0367182
0             15              4             21     -0.0428379
0             15              5              7      -0.118716
0             15              5             25      -0.061197
0             15              7              5       0.118716
0             15              7             19     -0.0329783
0             15              9              3      -0.220472
0             15              9             17     -0.0329783
0             15             10             15     -0.0367182
0             15             11             13       0.061197
0             15             13              1      0.0489576
0             15             13             11      -0.061197
0             15             13             29     -0.0137693
0             15             15              0      -0.616866
0             15             15             10      0.0367182
0             15             15             28      0.0339643
0             15             16             23     0.00454364
0             15             17              9      0.0329783
0             15             17             27      0.0480328
0             15             18             21      0.0227182
0             15             19              7      0.0329783
0             15             19             25     -0.0194728
0             15             21              4      0.0428379
0             15             21             18     -0.0227182
0             15             23              2      -0.172575
0             15             23             16    -0.00454364
0             15             25              5       0.061197
0             15             25             19      0.0194728
0             15             27              3     -0.0367182
0             15             27             17     -0.0480328
0             15             28             15     -0.0339643
0             15             29             13      0.0137693
0             16              0              2       0.110778
0             16              0             16       0.607074
0             16              2              0      -0.110778
0             16              2             10      0.0276946
0             16              2             28      -0.079622
0             16              3              6      -0.019583
0             16              3             24       0.110236
0             16              6              3       0.019583
0             16              6             17      0.0311564
0             16              7             12     -0.0179882
0             16             10              2     -0.0276946
0             16             10             16      0.0342703
0             16             12              7      0.0179882
0             16             12             25      0.0216364
0             16             13             20     -0.0108182
0             16             16              0      -0.607074
0             16             16             10     -0.0342703
0             16             16             28     -0.0128514
0             16             17              6     -0.0311564
0             16             17             24      0.0104931
0             16             20             13      0.0108182
0             16             24              3      -0.110236
0             16             24             17     -0.0104931
0             16             25             12     -0.0216364
0             16             28              2       0.079622
0             16             28             16      0.0128514
0             17              0              3       0.110778
0             17              0             17       0.607074
0             17              2              7      -0.019583
0             17              2             25       0.110236
0             17              3              0      -0.110778
0             17              3             10      0.0276946
0             17              3             28      -0.079622
0             17              6             13     -0.0179882
0             17              7              2       0.019583
0             17              7             16      0.0311564
0             17             10              3     -0.0276946
0             17             10             17      0.0342703
0             17             12             21     -0.0108182
0             17             13              6      0.0179882
0             17             13             24      0.0216364
0             17             16              7     -0.0311564
0             17             16             25      0.0104931
0             17             17              0      -0.607074
0             17             17             10     -0.0342703
0             17             17             28     -0.0128514
0             17             21             12      0.0108182
0             17             24             13     -0.0216364
0             17             25              2      -0.110236
0             17             25             16     -0.0104931
0             17             28              3       0.079622
0             17             28             17      0.0128514
0             18              0              4       0.276946
0             18              0             18       0.753947
0             18              1              2      -0.166168
0             18              1             16      -0.146873
0             18              2              1       0.166168
0             18              2             11        0.15232
0             18              2             29     -0.0536583
0             18              3              8     0.00979152
0             18              3             26       0.173834
0             18              4              0      -0.276946
0             18              4             10      -0.124626
0             18              4             28     -0.0259637
0             18              5              6     -0.0293746
0             18              5             24     -0.0635978
0             18              6              5      0.0293746
0             18              6             19       0.098662
0             18              7             14     -0.0329783
0             18              8              3    -0.00979152
0             18              8             17     -0.0675056
0             18              9             12      0.0149901
0             18             10              4       0.124626
0             18             10             18      0.0856758
0             18             11              2       -0.15232
0             18             11             16     -0.0514055
0             18             12              9     -0.0149901
0             18             12             27      0.0411092
0             18             13             22     -0.0335364
0             18             14              7      0.0329783
0             18             14             25     -0.0194728
0             18             15             20      0.0227182
0             18             16              1       0.146873
0             18             16             11      0.0514055
0             18             16             29      0.0174411
0             18             17              8      0.0675056
0             18             17             26      0.0667061
0             18             18              0      -0.753947
0             18             18             10     -0.0856758
0             18             18             28     -0.0302925
0             18             19              6      -0.098662
0             18             19             24      -0.056213
0             18             20             15     -0.0227182
0             18             22             13      0.0335364
0             18             24              5      0.0635978
0             18             24             19       0.056213
0             18             25             14      0.0194728
0             18             26              3      -0.173834
0             18             26             17     -0.0667061
0             18             27             12     -0.0411092
0             18             28              4      0.0259637
0             18             28             18      0.0302925
0             18             29              2      0.0536583
0             18             29             16     -0.0174411
0             19              0              5       0.276946
0             19              0             19       0.753947
0             19              1              3      -0.166168
0             19              1             17      -0.146873
0             19              2              9     0.00979152
0             19              2             27       0.173834
0             19              3              1       0.166168
0             19              3             11        0.15232
0             19              3             29     -0.0536583
0             19              4              7     -0.0293746
0             19              4             25     -0.0635978
0             19              5              0      -0.276946
0             19              5             10      -0.124626
0             19              5             28     -0.0259637
0             19              6             15     -0.0329783
0             19              7              4      0.0293746
0             19              7             18       0.098662
0             19              8             13      0.0149901
0             19              9              2    -0.00979152
0             19              9             16     -0.0675056
0             19             10              5       0.124626
0             19             10             19      0.0856758
0             19             11              3       -0.15232
0             19             11             17     -0.0514055
0             19             12             23     -0.0335364
0             19             13              8     -0.0149901
0             19             13             26      0.0411092
0             19             14             21      0.0227182
0             19             15              6      0.0329783
0             19             15             24     -0.0194728
0             19             16              9      0.0675056
0             19             16             27      0.0667061
0             19             17              1       0.146873
0             19             17             11      0.0514055
0             19             17             29      0.0174411
0             19             18              7      -0.098662
0             19             18             25      -0.056213
0             19             19              0      -0.753947
0             19             19             10     -0.0856758
0             19             19             28     -0.0302925
0             19             21             14     -0.0227182
0             19             23             12      0.0335364
0             19             24             15      0.0194728
0             19             25              4      0.0635978
0             19             25             18       0.056213
0             19             26             13     -0.0411092
0             19             27              2      -0.173834
0             19             27             16     -0.0667061
0             19             28              5      0.0259637
0             19             28             19      0.0302925
0             19             29              3      0.0536583
0             19             29             17     -0.0174411
0             20              0             20       0.509159
0             20              2             12       0.117498
0             20              6             24     -0.0380801
0             20             10             20    -0.00244788
0             20             12              2      -0.117498
0             20             12             16     -0.0380801
0             20             16             12      0.0380801
0             20             20              0      -0.509159
0             20             20             10     0.00244788
0             20             20             28       0.020195
0             20             24              6      0.0380801
0             20             28             20      -0.020195
0             21              0             21       0.509159
0             21              3             13       0.117498
0             21              7             25     -0.0380801
0             21             10             21    -0.00244788
0             21             13              3      -0.117498
0             21             13             17     -0.0380801
0             21             17             13      0.0380801
0             21             21              0      -0.509159
0             21             21             10     0.00244788
0             21             21             28       0.020195
0             21             25              7      0.0380801
0             21             28             21      -0.020195
0             22              0             22       0.530578
0             22              1             20     -0.0214189
0             22              2             14       0.172575
0             22              4             12     -0.0550773
